Id,sourceServiceId,targetServiceId,relation
1,light-OPPLELamp_lightMode_setLightMode_2,light-OPPLELamp_switchOnOff_on_1,implied
2,light-OPPLELamp_lightMode_setLightMode_3,light-OPPLELamp_switchOnOff_on_1,implied
3,light-OPPLELamp_lightMode_setLightMode_4,light-OPPLELamp_switchOnOff_on_1,implied
4,light-yeelightLEDColor_brightnessControl_setBrightness_,light-yeelightLEDColor_switchOnOff_on_1,implied
5,light-yeelightLEDColor_color_setColor_1,light-yeelightLEDColor_switchOnOff_on_1,implied
6,light-yeelightLEDColor_color_setColor_2,light-yeelightLEDColor_switchOnOff_on_1,implied
7,light-yeelightLEDColor_color_setColor_3,light-yeelightLEDColor_switchOnOff_on_1,implied
8,light-yeelightLEDColor_colorRangeControl_setColorRange_range,light-yeelightLEDColor_switchOnOff_on_1,implied
9,light-yeelightLEDColor_colorTempControl_setColorTemp_range,light-yeelightLEDColor_switchOnOff_on_1,implied
10,light-yeelightLEDColor_lightMode_setLightMode_0,light-yeelightLEDColor_switchOnOff_on_1,implied
11,light-yeelightLEDColor_lightMode_setLightMode_1,light-yeelightLEDColor_switchOnOff_on_1,implied
12,light-yeelightLEDColor_lightMode_setLightMode_2,light-yeelightLEDColor_switchOnOff_on_1,implied
13,light-yeelightLEDColor_lightMode_setLightMode_3,light-yeelightLEDColor_switchOnOff_on_1,implied
14,light-yeelightLEDColor_lightMode_setLightMode_4,light-yeelightLEDColor_switchOnOff_on_1,implied
15,light-yeelightLEDColor_lightMode_setLightMode_5,light-yeelightLEDColor_switchOnOff_on_1,implied
16,light-yeelightLEDColor_lightMode_setLightMode_6,light-yeelightLEDColor_switchOnOff_on_1,implied
17,light-yeelightLEDColor_lightMode_setLightMode_7,light-yeelightLEDColor_switchOnOff_on_1,implied
18,light-yeelightLEDColor_lightMode_setLightMode_8,light-yeelightLEDColor_switchOnOff_on_1,implied
19,AC-MideaAirConditioner_mode_setMode_1,AC-MideaAirConditioner_switchOnOff_on_1,implied
20,AC-MideaAirConditioner_mode_setMode_2,AC-MideaAirConditioner_switchOnOff_on_1,implied
21,AC-MideaAirConditioner_mode_setMode_3,AC-MideaAirConditioner_switchOnOff_on_1,implied
22,AC-MideaAirConditioner_mode_setMode_4,AC-MideaAirConditioner_switchOnOff_on_1,implied
23,AC-MideaAirConditioner_mode_setMode_5,AC-MideaAirConditioner_switchOnOff_on_1,implied
24,AC-MideaAirConditioner_tempControl_setTemp_range,AC-MideaAirConditioner_switchOnOff_on_1,implied
25,AC-MideaAirConditioner_windSpeed_setWindSpeed_1,AC-MideaAirConditioner_switchOnOff_on_1,implied
26,AC-MideaAirConditioner_windSpeed_setWindSpeed_2,AC-MideaAirConditioner_switchOnOff_on_1,implied
27,AC-MideaAirConditioner_windSpeed_setWindSpeed_3,AC-MideaAirConditioner_switchOnOff_on_1,implied
28,AC-MideaAirConditioner_windSpeed_setWindSpeed_4,AC-MideaAirConditioner_switchOnOff_on_1,implied
29,AC-MideaAirConditioner_windSpeed_setWindSpeed_5,AC-MideaAirConditioner_switchOnOff_on_1,implied
30,AC-MideaAirConditioner_mode_setMode_1,AC-MideaAirConditioner_mode_setMode_2,exclusive
31,AC-MideaAirConditioner_mode_setMode_2,AC-MideaAirConditioner_mode_setMode_1,exclusive
32,speaker-HUAWEIAISpeaker_playMusic_play_AmericaMusic,speaker-HUAWEIAISpeaker_audioPlayState_pause_1,implied
33,speaker-HUAWEIAISpeaker_playMusic_play_LightMusic,speaker-HUAWEIAISpeaker_audioPlayState_pause_1,implied
34,speaker-HUAWEIAISpeaker_playMusic_play_BackgroundMusic,speaker-HUAWEIAISpeaker_audioPlayState_pause_1,implied
35,speaker-HUAWEIAISpeaker_playMusic_play_PopularMusic,speaker-HUAWEIAISpeaker_audioPlayState_pause_1,implied
36,speaker-HUAWEIAISpeaker_playMusic_play_PianoPiece,speaker-HUAWEIAISpeaker_audioPlayState_pause_1,implied
37,speaker-HUAWEIAISpeaker_playMusic_play_Rock&Roll,speaker-HUAWEIAISpeaker_audioPlayState_pause_1,implied
38,speaker-HUAWEIAISpeaker_playMusic_play_FolkSong,speaker-HUAWEIAISpeaker_audioPlayState_pause_1,implied
39,speaker-HUAWEIAISpeaker_playMusic_play_ChildrenSong,speaker-HUAWEIAISpeaker_audioPlayState_pause_1,implied
40,speaker-HUAWEIAISpeaker_playMusic_play_LeisureMusic,speaker-HUAWEIAISpeaker_audioPlayState_pause_1,implied
41,speaker-HUAWEIAISpeaker_playMusic_play_aiting:5373510,speaker-HUAWEIAISpeaker_audioPlayState_pause_1,implied
42,speaker-HUAWEIAISpeaker_volumeControl_setVolume_range,speaker-HUAWEIAISpeaker_audioPlayState_pause_1,implied
43,cleaner-ECOVACSCleaner_setDirective_recharge_1,cleaner-ECOVACSCleaner_switchOnOff_on_1,implied
44,cleaner-ECOVACSCleaner_setDirective_clean_1,cleaner-ECOVACSCleaner_switchOnOff_on_1,implied
45,cleaner-ECOVACSCleaner_setDirective_pause_1,cleaner-ECOVACSCleaner_switchOnOff_on_1,implied
46,phone-iPhoneX_phoneCall_call_1,phone-iPhoneX_seekBar_UpDown_0,exclusive
47,phone-iPhoneX_seekBar_UpDown_0,phone-iPhoneX_phoneCall_call_1,exclusive
48,phone-iPhoneX_phoneCall_call_1,phone-iPhoneX_seekBar_UpDown_1,exclusive
49,phone-iPhoneX_seekBar_UpDown_1,phone-iPhoneX_phoneCall_call_1,exclusive
50,phone-iPhoneX_flashlight_switch_on,phone-iPhoneX_camera_switch_on,exclusive
51,phone-iPhoneX_camera_switch_on,phone-iPhoneX_flashlight_switch_on,exclusive
52,heater-HaierHeater_heatingMode_setMode_1,heater-HaierHeater_switchOnOff_on_1,implied
53,heater-HaierHeater_heatingMode_setMode_2,heater-HaierHeater_switchOnOff_on_1,implied
54,heater-HaierHeater_heatingMode_setMode_3,heater-HaierHeater_switchOnOff_on_1,implied
55,humidifier-POVOSHumidifier_gear_setMode_1,humidifier-POVOSHumidifier_switchOnOff_on_1,implied
56,humidifier-POVOSHumidifier_gear_setMode_2,humidifier-POVOSHumidifier_switchOnOff_on_1,implied
57,humidifier-POVOSHumidifier_gear_setMode_3,humidifier-POVOSHumidifier_switchOnOff_on_1,implied
58,humidifier-POVOSHumidifier_targetHumidity_setHumidity_range,humidifier-POVOSHumidifier_switchOnOff_on_1,implied
59,airpurifier-720Airpurifier_windSpeed_setWindSpeed_1,airpurifier-720Airpurifier_switchOnOff_on_1,implied
60,airpurifier-720Airpurifier_windSpeed_setWindSpeed_2,airpurifier-720Airpurifier_switchOnOff_on_1,implied
61,airpurifier-720Airpurifier_windSpeed_setWindSpeed_3,airpurifier-720Airpurifier_switchOnOff_on_1,implied
62,airpurifier-720Airpurifier_windSpeed_setWindSpeed_4,airpurifier-720Airpurifier_switchOnOff_on_1,implied
63,airpurifier-680Airpurifier_windSpeed_setWindSpeed_1,airpurifier-680Airpurifier_switchOnOff_on_1,implied
64,airpurifier-680Airpurifier_windSpeed_setWindSpeed_2,airpurifier-680Airpurifier_switchOnOff_on_1,implied
65,airpurifier-680Airpurifier_windSpeed_setWindSpeed_3,airpurifier-680Airpurifier_switchOnOff_on_1,implied
66,airpurifier-680Airpurifier_windSpeed_setWindSpeed_4,airpurifier-680Airpurifier_switchOnOff_on_1,implied
67,airpurifier-680Airpurifier_mode_setMode_1,airpurifier-680Airpurifier_switchOnOff_on_1,implied
68,airpurifier-680Airpurifier_mode_setMode_2,airpurifier-680Airpurifier_switchOnOff_on_1,implied
69,airdehumidifier-EurgeenDehumidifier_gear_setMode_1,airdehumidifier-EurgeenDehumidifier_switchOnOff_on_1,implied
70,airdehumidifier-EurgeenDehumidifier_gear_setMode_2,airdehumidifier-EurgeenDehumidifier_switchOnOff_on_1,implied
71,airdehumidifier-EurgeenDehumidifier_targetHumidity_setHumidity__range,airdehumidifier-EurgeenDehumidifier_switchOnOff_on_1,implied
72,camera-HUAWEIGD02Camera_capturePhoto_take_1,camera-HUAWEIGD02Camera_switchOnOff_on_1,implied
73,camera-HUAWEIGD02Camera_alarm_alarm_1,camera-HUAWEIGD02Camera_switchOnOff_on_1,implied
74,camera-HUAWEIGD02Camera_lightSwitch_lightOn_1,camera-HUAWEIGD02Camera_switchOnOff_on_1,implied
75,camera-HUAWEIGD02Camera_lightSwitch_lightOn_0,camera-HUAWEIGD02Camera_switchOnOff_on_1,implied
76,camera-HUAWEIGD02Camera_motionRecord_control_0,camera-HUAWEIGD02Camera_switchOnOff_on_1,implied
77,camera-HUAWEIGD02Camera_motionRecord_control_1,camera-HUAWEIGD02Camera_switchOnOff_on_1,implied
78,camera-HUAWEIGD02Camera_motionRecord_control_2,camera-HUAWEIGD02Camera_switchOnOff_on_1,implied
79,camera-HUAWEIGD02Camera_nightMode_switch_on,camera-HUAWEIGD02Camera_switchOnOff_on_1,implied
80,camera-HUAWEIGD02Camera_nightMode_switch_off,camera-HUAWEIGD02Camera_switchOnOff_on_1,implied
81,camera-HUAWEIGD02Camera_wdrSwitch_on_1,camera-HUAWEIGD02Camera_switchOnOff_on_1,implied
82,camera-HUAWEIGD02Camera_wdrSwitch_on_0,camera-HUAWEIGD02Camera_switchOnOff_on_1,implied
83,fan-LABOTONLT-FB02_rotate_setRotate_range,fan-LABOTONLT-FB02_switchOnOff_on_1,implied
84,fan-LABOTONLT-FB02_childLock_on_1,fan-LABOTONLT-FB02_switchOnOff_on_1,implied
85,fan-LABOTONLT-FB02_childLock_on_0,fan-LABOTONLT-FB02_switchOnOff_on_1,implied
86,humidifier-BearHumidifier_gear_setMode_1,humidifier-BearHumidifier_switchOnOff_on_1,implied
87,humidifier-BearHumidifier_gear_setMode_2,humidifier-BearHumidifier_switchOnOff_on_1,implied
88,humidifier-BearHumidifier_gear_setMode_3,humidifier-BearHumidifier_switchOnOff_on_1,implied
89,humidifier-BearHumidifier_targetHumidity_setHumidity_range,humidifier-BearHumidifier_switchOnOff_on_1,implied
90,phone-iPhoneX_switchStatus_do_not_disturb_1,phone-iPhoneX_switchStatus_setRingerMode_0,implied
91,phone-iPhoneX_switchStatus_setRingerMode_0,phone-iPhoneX_switchStatus_do_not_disturb_1,implied
92,AC-XiaoMiAirConditioner_setMode_heat_1,AC-XiaoMiAirConditioner_switchOnOff_on_1,implied
93,AC-XiaoMiAirConditioner_setMode_cool_1,AC-XiaoMiAirConditioner_switchOnOff_on_1,implied
94,AC-XiaoMiAirConditioner_switchOnOff_on_1,AC-XiaoMiAirConditioner_switchOnOff_on_1,implied
95,AC-XiaoMiAirConditioner_switchOnOff_on_2,AC-XiaoMiAirConditioner_switchOnOff_on_1,implied
96,AC-XiaoMiAirConditioner_windSpeed_setWindSpeed_2,AC-XiaoMiAirConditioner_switchOnOff_on_1,implied
97,AC-XiaoMiAirConditioner_windSpeed_setWindSpeed_3,AC-XiaoMiAirConditioner_switchOnOff_on_1,implied
98,AC-XiaoMiAirConditioner_switchOnOff_on_3,AC-XiaoMiAirConditioner_switchOnOff_on_1,implied
99,AC-XiaoMiAirConditioner_switchOnOff_on_4,AC-XiaoMiAirConditioner_switchOnOff_on_1,implied
100,AC-XiaoMiAirConditioner_setMode_dehumidification_1,AC-XiaoMiAirConditioner_switchOnOff_on_1,implied
101,sensor-PIRMotionDetector_mode_location_home,sensor-PIRMotionDetector_switchOnOff_on_1,implied
102,sensor-PIRMotionDetector_mode_location_noHome,sensor-PIRMotionDetector_switchOnOff_on_1,implied
